time;V(Net-_Q1-G_);
0.000555603;10.7067;
0.000555613;10.7067;
0.000555622;10.7067;
0.000555633;10.7067;
0.000555645;10.7067;
0.000555659;10.7066;
0.000555671;10.7066;
0.000555681;10.7065;
0.00055569;10.7063;
0.000555699;10.7062;
0.000555706;10.706;
0.000555714;10.7056;
0.000555717;10.7054;
0.000555719;10.7052;
0.000555722;10.705;
0.000555726;10.7047;
0.000555729;10.7044;
0.000555734;10.704;
0.000555739;10.7035;
0.000555748;10.7024;
0.000555757;10.7014;
0.000555767;10.7002;
0.000555774;10.6994;
0.000555779;10.6992;
0.000555782;10.6992;
0.000555784;10.6991;
0.000555786;10.6991;
0.000555788;10.699;
0.000555789;10.699;
0.000555791;10.699;
0.000555794;10.6991;
0.000555797;10.6992;
0.000555802;10.6996;
0.000555807;10.7003;
0.000555817;10.7023;
0.000555826;10.7052;
0.000555839;10.712;
0.000555844;10.7145;
0.000555846;10.7158;
0.000555847;10.7166;
0.000555849;10.7173;
0.00055585;10.7179;
0.000555852;10.7182;
0.000555854;10.718;
0.000555856;10.7172;
0.00055586;10.7146;
0.000555865;10.7094;
0.00055587;10.7049;
0.000555877;10.7001;
0.000555886;10.6828;
0.000555895;10.6395;
0.000555901;10.5932;
0.000555907;10.5472;
0.000555912;10.4935;
0.000555917;10.4489;
0.000555921;10.4116;
0.000555924;10.3761;
0.000555928;10.3396;
0.00055593;10.309;
0.000555931;10.2877;
0.000555933;10.2639;
0.000555933;10.2382;
0.000555934;10.2104;
0.000555936;10.1707;
0.000555937;10.1171;
0.00055594;10.0249;
0.000555942;9.93871;
0.000555945;9.83913;
0.000555948;9.72443;
0.000555951;9.60716;
0.000555955;9.46107;
0.000555959;9.30157;
0.000555967;8.9877;
0.000555977;8.60397;
0.000555989;8.15323;
0.000556;7.70856;
0.000556012;7.22538;
0.000556033;6.43665;
0.000556055;5.6186;
0.00055608;4.73259;
0.000556103;3.93659;
0.000556113;3.59678;
0.000556119;3.38503;
0.000556123;3.25189;
0.000556126;3.14458;
0.000556129;3.06922;
0.000556131;3.00529;
0.000556132;2.95617;
0.000556133;2.91595;
